"UF";"Municipio";"Codigo";"Ano";"Robson";"cesarea_antes_do_parto";"Nascidos"
"AC";"CRUZEIRO DO SUL";"120020";"2016";"4";"2";"11"
"AC";"CRUZEIRO DO SUL";"120020";"2016";"4";"3";"33"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"2";"1";"13"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"2";"2";"7"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"2";"3";"17"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"4";"1";"2"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"4";"2";"8"
"AC";"CRUZEIRO DO SUL";"120020";"2017";"4";"3";"25"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"2";NA;"1"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"2";"1";"19"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"2";"2";"61"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"2";"3";"59"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"4";"1";"9"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"4";"2";"28"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"4";"3";"76"
"AC";"CRUZEIRO DO SUL";"120020";"2018";"4";"9";"1"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"2";"1";"43"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"2";"2";"54"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"2";"3";"48"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"4";"1";"19"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"4";"2";"43"
"AC";"CRUZEIRO DO SUL";"120020";"2019";"4";"3";"67"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"2";"1";"23"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"2";"2";"45"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"2";"3";"48"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"4";"1";"17"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"4";"2";"41"
"AC";"CRUZEIRO DO SUL";"120020";"2020";"4";"3";"67"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"2";"1";"106"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"2";"2";"23"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"2";"3";"36"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"4";"1";"70"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"4";"2";"13"
"AC";"CRUZEIRO DO SUL";"120020";"2021";"4";"3";"70"
"AC";"EPITACIOLANDIA";"120025";"2010";"2";NA;"1"
"AC";"EPITACIOLANDIA";"120025";"2010";"2";"1";"1"
"AC";"EPITACIOLANDIA";"120025";"2010";"4";NA;"2"
"AC";"EPITACIOLANDIA";"120025";"2010";"4";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2011";"2";"1";"1"
"AC";"EPITACIOLANDIA";"120025";"2011";"2";"3";"1"
"AC";"EPITACIOLANDIA";"120025";"2011";"4";"1";"2"
"AC";"EPITACIOLANDIA";"120025";"2014";"2";NA;"3"
"AC";"EPITACIOLANDIA";"120025";"2014";"4";NA;"7"
"AC";"EPITACIOLANDIA";"120025";"2014";"4";"1";"1"
"AC";"EPITACIOLANDIA";"120025";"2014";"4";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2015";"2";NA;"1"
"AC";"EPITACIOLANDIA";"120025";"2015";"2";"1";"1"
"AC";"EPITACIOLANDIA";"120025";"2015";"2";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2015";"4";NA;"6"
"AC";"EPITACIOLANDIA";"120025";"2015";"4";"1";"1"
"AC";"EPITACIOLANDIA";"120025";"2015";"4";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2016";"2";"1";"10"
"AC";"EPITACIOLANDIA";"120025";"2016";"2";"2";"1"
