"UF";"Municipio";"Codigo";"Ano";"Robson";"parto_induzido";"Nascidos"
"AC";"EPITACIOLANDIA";120025;2014;2;1;3
"AC";"EPITACIOLANDIA";120025;2014;4;1;8
"AC";"EPITACIOLANDIA";120025;2014;4;2;1
"AC";"EPITACIOLANDIA";120025;2015;2;1;2
"AC";"EPITACIOLANDIA";120025;2015;2;2;1
"AC";"EPITACIOLANDIA";120025;2015;4;1;7
"AC";"EPITACIOLANDIA";120025;2015;4;2;1
"AC";"EPITACIOLANDIA";120025;2016;2;1;4
"AC";"EPITACIOLANDIA";120025;2016;2;2;9
"AC";"EPITACIOLANDIA";120025;2016;4;1;7
"AC";"EPITACIOLANDIA";120025;2016;4;2;10
"AC";"EPITACIOLANDIA";120025;2017;2;1;1
"AC";"EPITACIOLANDIA";120025;2017;2;2;6
"AC";"EPITACIOLANDIA";120025;2017;4;1;10
"AC";"EPITACIOLANDIA";120025;2017;4;2;5
"AC";"EPITACIOLANDIA";120025;2018;2;1;4
"AC";"EPITACIOLANDIA";120025;2018;2;2;5
"AC";"EPITACIOLANDIA";120025;2018;4;1;7
"AC";"EPITACIOLANDIA";120025;2018;4;2;5
"AC";"EPITACIOLANDIA";120025;2019;2;1;3
"AC";"EPITACIOLANDIA";120025;2019;2;2;9
"AC";"EPITACIOLANDIA";120025;2019;4;1;8
"AC";"EPITACIOLANDIA";120025;2019;4;2;7
"AC";"EPITACIOLANDIA";120025;2019;4;9;1
"AC";"EPITACIOLANDIA";120025;2020;2;1;3
"AC";"EPITACIOLANDIA";120025;2020;2;2;8
"AC";"EPITACIOLANDIA";120025;2020;4;1;5
"AC";"EPITACIOLANDIA";120025;2020;4;2;7
"AC";"EPITACIOLANDIA";120025;2021;2;1;3
"AC";"EPITACIOLANDIA";120025;2021;2;2;10
"AC";"EPITACIOLANDIA";120025;2021;4;1;8
"AC";"EPITACIOLANDIA";120025;2021;4;2;5
"AC";"FEIJO";120030;2010;2;2;1
"AC";"FEIJO";120030;2011;2;1;2
"AC";"FEIJO";120030;2011;4;1;2
"AC";"FEIJO";120030;2012;2;1;5
"AC";"FEIJO";120030;2012;4;1;11
"AC";"FEIJO";120030;2014;2;1;9
"AC";"FEIJO";120030;2014;4;1;8
"AC";"FEIJO";120030;2014;4;2;1
"AC";"FEIJO";120030;2015;2;1;13
"AC";"FEIJO";120030;2015;2;2;1
"AC";"FEIJO";120030;2015;4;1;25
"AC";"FEIJO";120030;2016;2;1;5
"AC";"FEIJO";120030;2016;2;2;3
"AC";"FEIJO";120030;2016;4;1;12
"AC";"FEIJO";120030;2016;4;2;3
"AC";"FEIJO";120030;2017;2;1;16
"AC";"FEIJO";120030;2017;2;2;3
"AC";"FEIJO";120030;2017;4;1;56
"AC";"FEIJO";120030;2017;4;2;6
"AC";"FEIJO";120030;2018;2;1;23
"AC";"FEIJO";120030;2018;2;2;11
"AC";"FEIJO";120030;2018;4;1;21
"AC";"FEIJO";120030;2018;4;2;9
"AC";"FEIJO";120030;2019;2;1;11
"AC";"FEIJO";120030;2019;2;2;7
"AC";"FEIJO";120030;2019;4;1;9
"AC";"FEIJO";120030;2019;4;2;11
"AC";"FEIJO";120030;2020;2;1;4
"AC";"FEIJO";120030;2020;2;2;6
"AC";"FEIJO";120030;2020;4;1;8
"AC";"FEIJO";120030;2020;4;2;14
"AC";"FEIJO";120030;2021;2;1;9
"AC";"FEIJO";120030;2021;2;2;19
"AC";"FEIJO";120030;2021;4;1;11
"AC";"FEIJO";120030;2021;4;2;16
"AC";"JORDAO";120032;2010;2;1;1
"AC";"JORDAO";120032;2010;4;1;1
"AC";"JORDAO";120032;2011;2;1;3
"AC";"JORDAO";120032;2011;4;1;9
"AC";"JORDAO";120032;2012;4;1;11
"AC";"JORDAO";120032;2014;2;1;7
"AC";"JORDAO";120032;2014;4;1;16
"AC";"JORDAO";120032;2015;2;1;6
"AC";"JORDAO";120032;2015;4;1;7
"AC";"JORDAO";120032;2016;2;1;2
"AC";"JORDAO";120032;2016;4;1;3
"AC";"JORDAO";120032;2017;2;1;5
"AC";"JORDAO";120032;2017;4;1;6
"AC";"JORDAO";120032;2018;2;1;1
"AC";"JORDAO";120032;2018;2;2;2
"AC";"JORDAO";120032;2018;4;1;4
"AC";"JORDAO";120032;2018;4;2;1
"AC";"JORDAO";120032;2019;2;1;2
"AC";"JORDAO";120032;2019;2;2;2
"AC";"JORDAO";120032;2019;4;1;2
"AC";"JORDAO";120032;2019;4;2;1
"AC";"JORDAO";120032;2020;2;1;1
"AC";"JORDAO";120032;2020;4;1;2
"AC";"JORDAO";120032;2021;2;1;6
"AC";"JORDAO";120032;2021;2;2;1
"AC";"JORDAO";120032;2021;4;1;8
"AC";"JORDAO";120032;2021;4;2;2
"AC";"MANCIO LIMA";120033;2010;2;1;2
"AC";"MANCIO LIMA";120033;2010;4;1;5
"AC";"MANCIO LIMA";120033;2010;4;2;1
"AC";"MANCIO LIMA";120033;2011;2;1;11
"AC";"MANCIO LIMA";120033;2011;2;2;9
"AC";"MANCIO LIMA";120033;2011;4;1;13
"AC";"MANCIO LIMA";120033;2011;4;2;6
"AC";"MANCIO LIMA";120033;2012;2;1;15
"AC";"MANCIO LIMA";120033;2012;2;2;9
"AC";"MANCIO LIMA";120033;2012;4;1;15
"AC";"MANCIO LIMA";120033;2012;4;2;12
"AC";"MANCIO LIMA";120033;2014;2;1;15
"AC";"MANCIO LIMA";120033;2014;2;2;6
"AC";"MANCIO LIMA";120033;2014;4;1;4
"AC";"MANCIO LIMA";120033;2014;4;2;1
"AC";"MANCIO LIMA";120033;2015;2;1;21
"AC";"MANCIO LIMA";120033;2015;4;1;12
"AC";"MANCIO LIMA";120033;2015;4;2;2
"AC";"MANCIO LIMA";120033;2016;2;1;5
"AC";"MANCIO LIMA";120033;2016;2;2;2
"AC";"MANCIO LIMA";120033;2016;4;1;14
"AC";"MANCIO LIMA";120033;2016;4;2;3
"AC";"MANCIO LIMA";120033;2017;2;1;8
"AC";"MANCIO LIMA";120033;2017;4;1;9
"AC";"MANCIO LIMA";120033;2017;4;2;4
"AC";"MANCIO LIMA";120033;2018;2;1;30
"AC";"MANCIO LIMA";120033;2018;2;2;4
"AC";"MANCIO LIMA";120033;2018;4;1;28
"AC";"MANCIO LIMA";120033;2018;4;2;3
"AC";"MANCIO LIMA";120033;2019;2;1;22
"AC";"MANCIO LIMA";120033;2019;2;2;5
"AC";"MANCIO LIMA";120033;2019;4;1;22
"AC";"MANCIO LIMA";120033;2019;4;2;2
"AC";"MANCIO LIMA";120033;2020;2;1;11
"AC";"MANCIO LIMA";120033;2020;2;2;5
"AC";"MANCIO LIMA";120033;2020;4;1;26
"AC";"MANCIO LIMA";120033;2020;4;2;3
"AC";"MANCIO LIMA";120033;2021;2;1;13
"AC";"MANCIO LIMA";120033;2021;2;2;27
"AC";"MANCIO LIMA";120033;2021;4;1;16
"AC";"MANCIO LIMA";120033;2021;4;2;12
"AC";"MANOEL URBANO";120034;2010;2;1;1
"AC";"MANOEL URBANO";120034;2011;2;1;3
"AC";"MANOEL URBANO";120034;2011;4;1;3
"AC";"MANOEL URBANO";120034;2012;2;1;7
"AC";"MANOEL URBANO";120034;2012;4;1;5
"AC";"MANOEL URBANO";120034;2014;2;1;3
"AC";"MANOEL URBANO";120034;2014;4;1;8
"AC";"MANOEL URBANO";120034;2015;2;1;2
"AC";"MANOEL URBANO";120034;2015;2;2;1
"AC";"MANOEL URBANO";120034;2015;4;1;1
"AC";"MANOEL URBANO";120034;2016;2;1;1
"AC";"MANOEL URBANO";120034;2016;2;2;2
"AC";"MANOEL URBANO";120034;2016;4;1;2
"AC";"MANOEL URBANO";120034;2017;4;1;1
"AC";"MANOEL URBANO";120034;2018;2;2;4
"AC";"MANOEL URBANO";120034;2018;4;1;5
"AC";"MANOEL URBANO";120034;2019;2;1;5
"AC";"MANOEL URBANO";120034;2019;2;2;6
"AC";"MANOEL URBANO";120034;2019;4;1;6
"AC";"MANOEL URBANO";120034;2019;4;2;3
"AC";"MANOEL URBANO";120034;2020;2;1;7
"AC";"MANOEL URBANO";120034;2020;2;2;2
"AC";"MANOEL URBANO";120034;2020;4;1;13
"AC";"MANOEL URBANO";120034;2020;4;2;1
"AC";"MANOEL URBANO";120034;2021;2;1;6
"AC";"MANOEL URBANO";120034;2021;2;2;7
"AC";"MANOEL URBANO";120034;2021;4;1;10
"AC";"MANOEL URBANO";120034;2021;4;2;2
"AC";"MARECHAL THAUMATURGO";120035;2010;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2011;2;NA;1
"AC";"MARECHAL THAUMATURGO";120035;2011;2;1;5
"AC";"MARECHAL THAUMATURGO";120035;2011;2;2;4
"AC";"MARECHAL THAUMATURGO";120035;2011;4;1;6
"AC";"MARECHAL THAUMATURGO";120035;2011;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2012;2;1;7
"AC";"MARECHAL THAUMATURGO";120035;2012;2;2;6
"AC";"MARECHAL THAUMATURGO";120035;2012;4;1;7
"AC";"MARECHAL THAUMATURGO";120035;2012;4;2;5
"AC";"MARECHAL THAUMATURGO";120035;2014;2;1;11
"AC";"MARECHAL THAUMATURGO";120035;2014;2;2;1
"AC";"MARECHAL THAUMATURGO";120035;2014;4;1;12
"AC";"MARECHAL THAUMATURGO";120035;2014;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2015;2;1;10
"AC";"MARECHAL THAUMATURGO";120035;2015;2;2;2
"AC";"MARECHAL THAUMATURGO";120035;2015;4;1;12
"AC";"MARECHAL THAUMATURGO";120035;2015;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2016;2;1;5
"AC";"MARECHAL THAUMATURGO";120035;2016;4;1;7
"AC";"MARECHAL THAUMATURGO";120035;2016;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2017;2;1;2
"AC";"MARECHAL THAUMATURGO";120035;2017;2;2;2
"AC";"MARECHAL THAUMATURGO";120035;2017;4;1;7
"AC";"MARECHAL THAUMATURGO";120035;2017;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2018;2;1;14
"AC";"MARECHAL THAUMATURGO";120035;2018;2;2;1
"AC";"MARECHAL THAUMATURGO";120035;2018;4;1;12
"AC";"MARECHAL THAUMATURGO";120035;2018;4;2;1
"AC";"MARECHAL THAUMATURGO";120035;2019;2;1;22
"AC";"MARECHAL THAUMATURGO";120035;2019;2;2;2
"AC";"MARECHAL THAUMATURGO";120035;2019;4;1;12
"AC";"MARECHAL THAUMATURGO";120035;2019;4;2;3
"AC";"MARECHAL THAUMATURGO";120035;2020;2;1;7
"AC";"MARECHAL THAUMATURGO";120035;2020;2;2;3
"AC";"MARECHAL THAUMATURGO";120035;2020;4;1;5
"AC";"MARECHAL THAUMATURGO";120035;2021;2;1;15
"AC";"MARECHAL THAUMATURGO";120035;2021;2;2;13
"AC";"MARECHAL THAUMATURGO";120035;2021;4;1;9
"AC";"MARECHAL THAUMATURGO";120035;2021;4;2;11
